%time,field.buf0,field.buf1,field.buf2,field.buf3,field.buf4,field.buf5,field.buf6,field.buf7,field.buf8,field.buf9,field.buf10,field.buf11,field.buf12,field.buf13,field.buf14,field.buf15,field.buf16,field.buf17,field.buf18,field.buf19,field.buf20,field.buf21,field.buf22,field.buf23,field.buf24,field.buf25,field.buf26,field.buf27,field.buf28,field.buf29,field.buf30,field.buf31,field.buf32,field.buf33,field.buf34,field.buf35,field.buf36,field.buf37,field.buf38,field.buf39,field.buf40,field.buf41,field.buf42,field.buf43,field.buf44,field.buf45,field.buf46,field.buf47,field.buf48
1562068990233138065,82,178,196,156,34,0,0,0,142,7,235,68,33,0,0,0,234,245,220,68,33,0,0,0,0,0,46,61,0,0,79,189,0,96,124,191,0,224,43,191,0,224,171,189,0,220,127,191,0
1562068990244711052,29,110,93,157,34,0,0,0,104,128,131,69,33,0,0,0,166,120,117,69,33,0,0,0,0,0,36,61,0,0,83,189,0,64,125,191,0,136,16,191,0,208,4,62,0,208,132,191,0
1562068990253120299,232,41,246,157,34,0,0,0,78,36,28,70,33,0,0,0,146,32,14,70,33,0,0,0,0,0,29,61,0,0,91,189,0,176,125,191,0,200,47,191,0,128,59,190,0,232,125,191,0
1562068990263073053,176,157,142,158,34,0,0,0,106,141,180,70,33,0,0,0,34,132,166,70,33,0,0,0,0,0,45,61,0,0,103,189,0,128,125,191,0,120,230,190,0,160,12,190,0,12,120,191,0
1562068990273005606,121,17,39,159,34,0,0,0,54,65,77,71,33,0,0,0,244,49,63,71,33,0,0,0,0,0,89,61,0,0,64,189,0,128,125,191,0,176,51,191,0,144,98,62,0,60,112,191,0
1562068990282993951,66,133,191,159,34,0,0,0,232,230,229,71,33,0,0,0,208,178,215,71,33,0,0,0,0,0,54,61,0,0,97,189,0,128,124,191,0,128,59,191,0,128,59,61,0,24,118,191,0
1562068990298982549,12,65,88,160,34,0,0,0,30,59,126,72,33,0,0,0,164,54,112,72,33,0,0,0,0,0,27,61,0,0,86,189,0,112,125,191,0,184,8,191,0,80,67,62,0,94,151,191,0
1562068990306285206,213,180,240,160,34,0,0,0,62,9,23,73,33,0,0,0,198,223,8,73,33,0,0,0,0,0,23,61,0,0,66,189,0,128,125,191,0,252,80,191,0,64,156,61,0,94,151,191,0
1562068990313074103,160,112,137,161,34,0,0,0,22,142,175,73,33,0,0,0,196,97,161,73,33,0,0,0,0,0,45,61,0,0,90,189,0,80,124,191,0,168,222,190,0,144,226,190,0,0,122,191,0
1562068990323266848,106,44,34,162,34,0,0,0,32,59,72,74,33,0,0,0,28,22,58,74,33,0,0,0,0,0,8,61,0,0,98,189,0,144,123,191,0,152,183,190,0,208,132,190,0,172,138,191,0
1562068990333125913,51,160,186,162,34,0,0,0,108,141,224,74,33,0,0,0,222,121,210,74,33,0,0,0,0,0,45,61,0,0,72,189,0,224,124,191,0,224,43,191,0,96,234,189,0,120,102,191,0
1562068990343224693,254,91,83,163,34,0,0,0,126,85,121,75,33,0,0,0,126,44,107,75,33,0,0,0,0,0,43,61,0,0,94,189,0,0,126,191,0,168,94,191,0,32,203,61,0,96,106,191,0
1562068990354331124,198,207,235,163,34,0,0,0,42,207,17,76,33,0,0,0,148,215,3,76,33,0,0,0,0,0,59,61,0,0,75,189,0,32,126,191,0,160,12,191,0,64,28,189,0,130,145,191,0
